name,category,unit,price_per_unit,currency,source_document
General Number /الرقم العام,General,unit,350.99,EGP,data3.md
General Number / الرقم العام,General,unit,40.2,EGP,data3.md
Normal Portland / بورتلاند عادي,General,unit,116.4,EGP,data3.md
White / أبيض,General,unit,184.7,EGP,data3.md
Iron / حديدى,General,unit,85.0,EGP,data3.md
Aluminum bars,General,unit,159.0,EGP,data3.md
Red Copper Nets,General,unit,494.3,EGP,data3.md
Red copper ribbons and shapes,General,unit,439.8,EGP,data3.md
Yellow Copper Molds,General,unit,325.7,EGP,data3.md
Ordinary portland cement packed in a sack,Glassالزجاج,unit,25.26,EGP,compressed.md
White cement packed in a sack,Glassالزجاج,unit,10.79,EGP,compressed.md
Iron cement packed in a sack,Glassالزجاج,unit,14.03,EGP,compressed.md
Sand,Glassالزجاج,unit,33.07,EGP,compressed.md
Gravel,Glassالزجاج,unit,21.18,EGP,compressed.md
Elsen1,Glassالزجاج,unit,29.61,EGP,compressed.md
Elsen2,Glassالزجاج,unit,29.73,EGP,compressed.md
No. (1) gypsum packed in sacks,Glassالزجاج,unit,16.02,EGP,compressed.md
Sweden wood no (1),Glassالزجاج,unit,27.12,EGP,compressed.md
Blank wood no (1),Glassالزجاج,unit,39.73,EGP,compressed.md
Flat engraved glass 3 mm white,Glassالزجاج,unit,32.32,EGP,compressed.md
Flat engraved glass 4 mm white,Glassالزجاج,unit,44.46,EGP,compressed.md
Slick foundry 3 cm,Glassالزجاج,unit,14.8,EGP,compressed.md
Rose Granite 3 Cm,Glassالزجاج,unit,793.17,EGP,compressed.md
Diameter ½ inch,Glassالزجاج,unit,15.94,EGP,compressed.md
Diameter ¾ inch,Glassالزجاج,unit,19.37,EGP,compressed.md
Diameter ¾ inchgalvanized thickness 2.65 mm,Glassالزجاج,unit,11.81,EGP,compressed.md
Other manufacturing industrie / صناعات تحويلية اخرى,General,unit,10.13,EGP,data4.md
Constructive / الانشائية,General,unit,106.0,EGP,data4.md
استخدامات منزلية House usages,January 2025 يناير 2025,unit,35.1,EGP,data4.md
TAMAYUZ,January 2025 يناير 2025,unit,2024.0,EGP,data4.md
urban / حضر,January 2025 يناير 2025,unit,65.7,EGP,data4.md
rural / ريف,January 2025 يناير 2025,unit,71.4,EGP,data4.md
Core & Shell (Red Brick),General,unit,7250.0,EGP,egypt-construction-costs-2025.md
Semi-Finished (Plastered),General,unit,10000.0,EGP,egypt-construction-costs-2025.md
Standard Finishing,General,unit,17500.0,EGP,egypt-construction-costs-2025.md
Luxury Finishing,General,unit,25000.0,EGP,egypt-construction-costs-2025.md
Super Deluxe Finishing,General,unit,40000.0,EGP,egypt-construction-costs-2025.md
Ezz Steel,General,ton,39100.0,EGP,egypt-construction-costs-2025.md
Suez Steel,General,ton,36550.0,EGP,egypt-construction-costs-2025.md
Beshay Steel,General,ton,37750.0,EGP,egypt-construction-costs-2025.md
El-Marakby Steel,General,ton,35500.0,EGP,egypt-construction-costs-2025.md
Garhy Steel,General,ton,35750.0,EGP,egypt-construction-costs-2025.md
Ashry Steel,General,ton,33550.0,EGP,egypt-construction-costs-2025.md
Misr Steel,General,ton,33150.0,EGP,egypt-construction-costs-2025.md
El-Komy Steel,General,ton,33350.0,EGP,egypt-construction-costs-2025.md
El-Ola Steel,General,ton,32550.0,EGP,egypt-construction-costs-2025.md
Concrete columns,General,m³,175.0,EGP,egypt-construction-costs-2025.md
Solid slab ceiling,General,m³,95.0,EGP,egypt-construction-costs-2025.md
Hollow block ceiling,General,m³,90.0,EGP,egypt-construction-costs-2025.md
One-way ribbed slab,General,m³,115.0,EGP,egypt-construction-costs-2025.md
Flat slab,General,m³,150.0,EGP,egypt-construction-costs-2025.md
