Category,Subcategory,Item,Specification,Unit,Price Range (EGP),Notes,Quality Grade,Region Applicable,Last Updated
Document Info,Metadata,Document Title,N/A,N/A,N/A,Egypt Construction Costs & Materials Guide 2025,N/A,N/A,December 2025
Document Info,Metadata,Currency,N/A,N/A,N/A,Egyptian Pound (EGP),N/A,N/A,December 2025

Construction Stages,Cost per m²,Core & Shell (Red Brick),Residential Apartments,m²,"6,000 - 8,500",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Core & Shell (Red Brick),Residential Villas,m²,"7,500 - 10,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Core & Shell (Red Brick),Commercial Buildings,m²,"9,000 - 12,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Semi-Finished (Plastered),Residential Apartments,m²,"8,500 - 11,500",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Semi-Finished (Plastered),Residential Villas,m²,"10,500 - 14,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Semi-Finished (Plastered),Commercial Buildings,m²,"12,000 - 16,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Economic Finishing,Residential Apartments,m²,"11,500 - 15,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Economic Finishing,Residential Villas,m²,"14,000 - 18,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Economic Finishing,Commercial Buildings,m²,"16,000 - 22,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Standard Finishing,Residential Apartments,m²,"15,000 - 20,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Standard Finishing,Residential Villas,m²,"18,000 - 25,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Standard Finishing,Commercial Buildings,m²,"22,000 - 30,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Luxury Finishing,Residential Apartments,m²,"20,000 - 30,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Luxury Finishing,Residential Villas,m²,"25,000 - 40,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Luxury Finishing,Commercial Buildings,m²,"30,000 - 50,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Super Deluxe Finishing,Residential Apartments,m²,"30,000 - 50,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Super Deluxe Finishing,Residential Villas,m²,"40,000 - 70,000",Land cost NOT included,N/A,N/A,December 2025
Construction Stages,Cost per m²,Super Deluxe Finishing,Commercial Buildings,m²,"50,000 - 100,000",Land cost NOT included,N/A,N/A,December 2025

Building Materials,Steel Reinforcement,Ezz Steel,N/A,ton,"38,200 - 40,000",Relatively stable with minor fluctuations,Premium,N/A,December 2025
Building Materials,Steel Reinforcement,Suez Steel,N/A,ton,"35,000 - 38,100",Relatively stable with minor fluctuations,High Quality,N/A,December 2025
Building Materials,Steel Reinforcement,Egyptian Steel,N/A,ton,"38,000 - 38,100",Relatively stable with minor fluctuations,High Quality,N/A,December 2025
Building Materials,Steel Reinforcement,Beshay Steel,N/A,ton,"37,000 - 38,500",Relatively stable with minor fluctuations,High Quality,N/A,December 2025
Building Materials,Steel Reinforcement,El-Marakby Steel,N/A,ton,"35,000 - 36,000",Relatively stable with minor fluctuations,Standard,N/A,December 2025
Building Materials,Steel Reinforcement,Garhy Steel,N/A,ton,"35,500 - 36,000",Relatively stable with minor fluctuations,Standard,N/A,December 2025
Building Materials,Steel Reinforcement,Ashry Steel,N/A,ton,"32,100 - 35,000",Relatively stable with minor fluctuations,Standard,N/A,December 2025
Building Materials,Steel Reinforcement,Misr Steel,N/A,ton,"31,600 - 34,700",Relatively stable with minor fluctuations,Economy,N/A,December 2025
Building Materials,Steel Reinforcement,El-Komy Steel,N/A,ton,"32,500 - 34,200",Relatively stable with minor fluctuations,Economy,N/A,December 2025
Building Materials,Steel Reinforcement,El-Ola Steel,N/A,ton,"31,600 - 33,500",Relatively stable with minor fluctuations,Economy,N/A,December 2025

Building Materials,Steel Quantities,Separate foundations,Without mid-beams,kg/m³,"50 - 60",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,Separate foundations,With armed mid-beams,kg/m³,"90 - 100",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,Separate mid-beams,N/A,kg/m³,"140 - 160",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,Concrete columns,N/A,kg/m³,"160 - 190",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,Solid slab ceiling,N/A,kg/m³,"90 - 100",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,Hollow block ceiling,N/A,kg/m³,"80 - 100",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,One-way ribbed slab,N/A,kg/m³,"110 - 120",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,Flat slab,N/A,kg/m³,"140 - 160",N/A,N/A,N/A,December 2025
Building Materials,Steel Quantities,Armed slab,Without inverted beams,kg/m³,"90 - 100",N/A,N/A,N/A,December 2025

Building Materials,Cement,Ordinary Portland Cement,OPC 42.5,ton,"3,800 - 4,200",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,Ordinary Portland Cement,OPC 42.5,50kg bag,"95 - 105",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,Portland Pozzolana Cement,PPC,ton,"3,600 - 4,000",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,Portland Pozzolana Cement,PPC,50kg bag,"90 - 100",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,Rapid Hardening Cement,N/A,ton,"4,200 - 4,500",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,Rapid Hardening Cement,N/A,50kg bag,"105 - 113",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,Sulfate Resisting Cement,N/A,ton,"4,000 - 4,400",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,Sulfate Resisting Cement,N/A,50kg bag,"100 - 110",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,White Cement,N/A,ton,"6,500 - 8,000",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement,White Cement,N/A,50kg bag,"163 - 200",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025

Building Materials,Cement Brands,Lafarge Cement,N/A,ton,3,900,Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement Brands,Suez Cement,N/A,ton,"3,800 - 4,000",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement Brands,Assiut Cement,N/A,ton,"3,720 - 3,900",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement Brands,El Nasr Cement,N/A,ton,"3,800 - 4,000",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025
Building Materials,Cement Brands,Sinai Cement,N/A,ton,"3,700 - 3,900",Increased by 40% in May 2025, now stable,N/A,N/A,December 2025

Building Materials,Concrete & Aggregates,Ready-Mix Concrete,C25,m³,"1,800 - 2,200",N/A,N/A,N/A,December 2025
Building Materials,Concrete & Aggregates,Ready-Mix Concrete,C30,m³,"2,000 - 2,400",N/A,N/A,N/A,December 2025
Building Materials,Concrete & Aggregates,Ready-Mix Concrete,C35,m³,"2,200 - 2,600",N/A,N/A,N/A,December 2025
Building Materials,Concrete & Aggregates,Ready-Mix Concrete,C40,m³,"2,400 - 2,800",N/A,N/A,N/A,December 2025
